step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
688,CASH_IN,23557.12,C867750533,8059.0,31616.12,C1026934669,169508.66,145951.53,0,0
274,PAYMENT,6236.13,C601099070,0.0,0.0,M701283411,0.0,0.0,0,0
133,PAYMENT,33981.87,C279540931,18745.72,0.0,M577905776,0.0,0.0,0,0
225,CASH_OUT,263006.42,C11675531,20072.0,0.0,C529577791,390253.56,653259.98,0,0
249,CASH_OUT,152013.74,C530649214,20765.0,0.0,C1304175579,252719.19,404732.93,0,0
276,PAYMENT,2854.62,C1176841830,0.0,0.0,M1392929452,0.0,0.0,0,0
137,CASH_OUT,336874.19,C1430396546,201316.0,0.0,C1687236810,20820.92,357695.11,0,0
378,CASH_OUT,520230.74,C1815050914,0.0,0.0,C1640500532,540059.79,1060290.53,0,0
403,CASH_IN,51179.09,C1451233962,8278679.08,8329858.17,C330970462,602965.54,551786.46,0,0
202,TRANSFER,735977.55,C1864759705,8900.0,0.0,C2022704650,0.0,735977.55,0,0
380,CASH_OUT,112606.21,C1279551023,0.0,0.0,C356338918,151260.04,263866.25,0,0
346,CASH_OUT,99203.7,C339611757,22297.0,0.0,C1223540220,0.0,99203.7,0,0
209,CASH_IN,321631.56,C214232645,6611197.56,6932829.13,C412261249,1103286.62,781655.06,0,0
231,CASH_IN,408320.59,C147558429,995.0,409315.59,C921825569,1397750.17,989429.58,0,0
300,PAYMENT,22950.32,C589306939,153400.54,130450.21,M455756256,0.0,0.0,0,0
15,TRANSFER,151878.25,C1340160492,269539.0,117660.75,C1379646923,349458.57,501336.82,0,0
15,PAYMENT,10315.59,C1691041888,51275.0,40959.41,M760405926,0.0,0.0,0,0
229,PAYMENT,29748.71,C646772953,171.0,0.0,M1463899796,0.0,0.0,0,0
133,CASH_OUT,180171.05,C358340052,56503.0,0.0,C763707545,257898.04,438069.1,0,0
256,PAYMENT,9746.91,C2111839967,91401.09,81654.17,M1628040249,0.0,0.0,0,0
161,PAYMENT,7810.53,C1177292228,2146.0,0.0,M709861523,0.0,0.0,0,0
259,PAYMENT,3816.49,C1531099717,115421.0,111604.51,M1938922718,0.0,0.0,0,0
130,PAYMENT,3144.66,C2143875111,21028.0,17883.34,M214475916,0.0,0.0,0,0
332,PAYMENT,14025.33,C1016295874,205423.0,191397.67,M304573061,0.0,0.0,0,0
